,Year,Type,Country,Activity,sex,Injury,Fatal
5222,1922,Unprovoked,USA,UNKNOWN,MALE,Leg bitten,NO
5223,1922,Unprovoked,USA,Floating,FEMALE,"FATAL, thigh bitten",YES
5224,1922,Unprovoked,JAMAICA,Swimming,MALE,"FATAL, arm severed, thigh severely bitten  ",YES
5225,1922,Unprovoked,SOUTH AFRICA,Swimming,MALE,Abdomen & thigh bitten,NO
5226,1922,Unprovoked,AUSTRALIA,Swimming,MALE,FATAL,YES
5227,1922,Unprovoked,JAMAICA,Fishing,MALE,Survived,NO
5228,1922,Unprovoked,JAMAICA,Standing,FEMALE,"FATAL, right leg severed at thigh ",YES
5229,1922,Unprovoked,AUSTRALIA,Bathing in knee-deep water,MALE,"FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene",YES
5230,1922,Invalid,AUSTRALIA,Swimming,MALE,"Disappeared whiile swimming alone, body parts recovered, but shark involvement prior to death unconfirmed",UNKNOWN
5231,1922,Unprovoked,AUSTRALIA,Swimming,MALE,"FATAL, both arms & shoulder bitten",YES
5232,1922,Unprovoked,IRAQ,Bathing,MALE,FATAL,YES
5233,1922,Unprovoked,AUSTRALIA,Swimming ,MALE,FATAL,YES
5234,1922,Unprovoked,AUSTRALIA,Standing,MALE,Small laceration on left thigh & swim costume torn,NO
5235,1922,Unprovoked,AUSTRALIA,Surfing,MALE,"FATAL, disappeared, then his shark-bitten remains washed ashore ",YES
5236,1921,Unprovoked,AUSTRALIA,Swimming,MALE,Survived,NO
5237,1921,Unprovoked,AUSTRALIA,Fell from his father's back into the water,MALE,"FATAL, disappeared, body not recovered",YES
5238,1921,Unprovoked,AUSTRALIA,"Wading to dinghy, carrying his son",MALE,"Right hip, buttock, elbow, arm & wrist bitten",NO
5239,1921,Unprovoked,FIJI,Swimming,UNKNOWN,FATAL,YES
5240,1921,Unprovoked,AUSTRALIA,Diving for beche-de-mer ,MALE,Lacerations to right arm & chest,NO
5241,1921,Unprovoked,AUSTRALIA,Diving for beche-de-mer,MALE,"Left thigh bitten, FATAL",YES
5242,1921,Provoked,ENGLAND,Fishing,MALE,Leg bitten by shark he was attempting to capture PROVOKED INCIDENT,NO
5243,1921,Unprovoked,AUSTRALIA,UNKNOWN,MALE,Lacerations to arm,NO
5244,1921,Unprovoked,PHILIPPINES,Swimming,MALE,"FATAL, abdomen  severely lacerated, taken by seaplane to hospital in Corrigedor but died  ",YES
5245,1921,Unprovoked,CUBA,Fell overboard,MALE,FATAL,YES
5246,1921,Invalid,PHILIPPINES,UNKNOWN,UNKNOWN,Buttons & shoes found in shark caught in fish trap,UNKNOWN
5247,1920,Unprovoked,AUSTRALIA,Wading,MALE,Lacerations to leg & hand,NO
5248,1921,Unprovoked,HAITI,Dived into a school of baitfish,MALE,"FATAL, large wound on thigh",YES
5249,1920,Unprovoked,AUSTRALIA,Standing,MALE,"Minor injuries to leg, hand & fingers",NO
5250,1920,Sea Disaster,PHILIPPINES,The coastwise steamer San Basilio capsized in a typhoon,MALE,FATAL,YES
5251,1920,Invalid,USA,Swimming ,MALE,Thought to have been taken by a shark. Body was not recovered,UNKNOWN
5252,1920,Unprovoked,AUSTRALIA,Diving for trochus shell,MALE,Severe lacerations to right shoulder & arm,NO
5253,1920,Unprovoked,USA,Swimming ,MALE,Knee & thigh bitten,NO
5254,1920,Provoked,CANADA,Harpooned shark,UNKNOWN,"No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT",NO
5255,1920,Unprovoked,AUSTRALIA,"Boat capsized, swimming to shore",MALE,"Tossed in air by shark, sustained abrasions",NO
5256,1920,Unprovoked,AUSTRALIA,Diving,MALE,Lacerations to foot,NO
5257,1920,Unprovoked,SOUTH AFRICA,Floating face down,FEMALE,Abdomen bitten,NO
5258,1920,Unprovoked,AUSTRALIA,Free diving,MALE,FATAL,YES
5259,1920,Unprovoked,AUSTRALIA,Swimming ,MALE,Leg bitten. FATAL,YES
5260,1920,Unprovoked,JAMAICA,Jumped overboard,MALE,FATAL,YES
5261,1920,Unprovoked,NEW ZEALAND,UNKNOWN,FEMALE,"""Recovered""",NO
5262,1920,Unprovoked,SOUTH AFRICA,Splashing,MALE,Thigh & buttocks bitten. Not known if he survived.,NO
5263,1919,Unprovoked,AUSTRALIA,Swimming,MALE,Lacerations to left leg,NO
5264,1919,Unprovoked,AUSTRALIA,Swimming,MALE,"FATAL, left leg & calf bitten, leg surgically amputated ",YES
5265,1919,Unprovoked,AUSTRALIA,Sitting in a boat,MALE,Lacerations to buttocks,NO
5266,1919,Unprovoked,COSTA RICA,Small vessel with 13 men on board capsized crossing the bar and 6 men drowned.  The 7 survivors were swimming to shore,MALE,"FATAL, 6 men were taken by sharks as they neared the beach, 1 survived",YES
5267,1919,Unprovoked,USA,Swimming,MALE,Laceration to left thigh,NO
5268,1919,Unprovoked,USA,"""Swimming vigorously""",MALE,Left foot bitten & abraded,NO
5269,1919,Unprovoked,USA,Knocked into the water,MALE,FATAL,YES
5270,1919,Invalid,AUSTRALIA,Cutter capsized,MALE,Shark involvement not confirmed,UNKNOWN
5271,1919,Unprovoked,AUSTRALIA,Swimming,MALE,"Multiple injuries, left leg surgically amputated at knee",NO
5272,1919,Unprovoked,NEW ZEALAND,Swimming,FEMALE,Leg bitten,NO
5273,1919,Unprovoked,AUSTRALIA,Wading,MALE,"FATAL, right thigh bitten ",YES
5274,1919,Unprovoked,AUSTRALIA,Wading (shrimping),MALE,"FATAL, thigh bitten, leg amputated ",YES
5275,1919,Boating,ITALY,Fishing,MALE,No injury,NO
5276,1919,Unprovoked,USA,Swimming,FEMALE,Leg severed,NO
5277,1918,Unprovoked,USA,Fishing,MALE,FATAL,YES
5278,1918,Sea Disaster,SAN DOMINGO,Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.,MALE,"FATAL, ""men snatched from rafts by sharks""   ",YES
5279,1918,Unprovoked,AUSTRALIA,Bathing,MALE,FATAL,YES
5280,1918,Unprovoked,AUSTRALIA,Surfing,MALE,"Severe laceration to arm, necessitating surgical amputation at the elbow",NO
5281,1918,Unprovoked,AUSTRALIA,Diving,MALE,Survived,NO
5282,1917,Unprovoked,AUSTRALIA,Swimming,MALE,Lacerations to left leg,NO
5283,1917,Unprovoked,MOZAMBIQUE,Wreck of the tug Magellan,MALE,FATAL,YES
5284,1917,Unprovoked,USA,"Swimming, towing an empty barrel",MALE,Left knee lacerated,NO
5285,1917,Provoked,USA,Stuffing a shark into an automobile,MALE,Arm severely lacerated by shark that had been hooked and shot PROVOKED INCIDENT,NO
5286,1917,Unprovoked,PANAMA,Swimming to shore from the Medic,MALE,FATAL,YES
5287,1917,Unprovoked,USA,Diving,MALE,FATAL,YES
5288,1917,Sea Disaster,IRELAND,Ship Mariston torpedoed & sunk,MALE,"FATAL, only 1 survivor",YES
5289,1917,Unprovoked,USA,Swimming beside launch,MALE,Right arm bitten,NO
5290,1917,Unprovoked,PHILIPPINES,Swimming,MALE,"FATAL, abdominal cavity removed ",YES
5291,1917,Unprovoked,KUWAIT,Diving for pearls,MALE,Torso bitten,NO
5292,1917,Unprovoked,LIBYA,Diving for sponges,MALE,"Bitten by shark, but  repelled it with his 'skandalopetra' ",NO
5293,1916,Unprovoked,AUSTRALIA,Bathing,MALE,Right calf bitten,NO
5294,1916,Unprovoked,AUSTRALIA,Taking wife to beach & about 1 m from the shore,MALE,"FATAL, right arm severed, chest punctured ",YES
5295,1916,Unprovoked,AUSTRALIA,Swimming 10 m from shore,FEMALE,Leg nipped by shark,NO
5296,1916,Provoked,PANAMA,UNKNOWN,MALE,"""Severely bitten""",NO
5297,1916,Unprovoked,AUSTRALIA,Swimming,MALE,FATAL,YES
5298,1916,Unprovoked,AUSTRALIA,Bathing,MALE,FATAL,YES
